name,image,reviews,price,recommendations,address,comment
福缘居酒楼(河坊街店),https://img.meituan.net/msmerchant/ebb3dbc8305595ffa0e12c50d83bb19565470.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,16554,￥110,"['脆皮大肠', '油淋鸡', '醉虾']",浙菜 | 吴山广场/河坊街,5
朴墅·传承杭帮菜(青芝坞店),http://p0.meituan.net/biztone/1694781_1654047415492.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,27006,￥110,"['奶油芝士焗南瓜', '招牌鲜卤鸡爪（2只起售）', '腊味煲仔饭']",浙菜 | 西湖北线/黄龙,5
JIREH7,http://qcloud.dpfile.com/pc/MB_-27sHcnbd1h7LwagoEFaSGwQvO0qnBHQIYTus4BGD4NY92lDmpUAXabGVUF74bKcq9vnEaGy3xLEf-_v_oA.jpg,4695,￥76,"['嫩豆腐汤', '炒鸡肉', '烤猪排肉']",韩国料理 | 古墩路沿线,5
肉本家·炭烤肉(耀江文鼎国际店),https://img.meituan.net/content/cf23d79a3f7f6863dc6806ef4eb24cb0322765.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,15583,￥103,"['南瓜粥', '济州岛黑猪五花肉（厚切）', '超满足牛肉拌饭']",韩式烤肉 | 古墩路沿线,5
晌熏欧巴年糕,https://img.meituan.net/msmerchant/b6d090f220f3b48cacf1cf2ef150704351275.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,8556,￥76,"['意大利蜂蜜披萨', '双拼炸鸡', '芝士年糕']",韩国料理 | 下沙,5
临记老厨(文苑店),https://p0.meituan.net/biztone/918f5cb2d3122577209339ed52c8c543376894.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4354,￥95,"['醋炒鸡', '一鱼两吃', '农家口口脆']",浙菜 | 文三路沿线,5
宝中宝食府(清泰街店),https://img.meituan.net/msmerchant/38a9cd848070994d2f3a677af68441c3416140.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,8209,￥121,"['脆皮大肠', '白胡椒虾', '腰花王']",浙菜 | 城站火车站/浙二医院,5
澳骄 Aussie Kitchen(国大店),https://img.meituan.net/msmerchant/dc9b137e07fb40704bead823543e9a0c294428.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5001,￥133,"['澳娇小当家披萨', '澳洲谷饲黑安格斯西冷牛排', '薯条']",西餐 | 武林广场,5
方家厨房(玉皇山店),https://img.meituan.net/msmerchant/935eb2b219a15a83885aeb46b794a5832322011.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2606,￥115,"['脆皮大肠', '臭豆腐明虾煲', '卤鸭']",浙菜 | 复兴路沿线/南星,5
桂语山房(满觉陇店),https://img.meituan.net/msmerchant/7cae7ca87adbbba31bbc8b65b973519957167.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,15680,￥638,"['虎跑泉水牛肉', '青石板话梅\u2006小排', '九层塔咖喱大虾']",浙菜 | 龙井/虎跑,5
西溪别院(西溪天堂店),http://p0.meituan.net/biztone/181431397_1686793236270.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,10848,￥141,"['私房铁锅鱼头', '红酒焖牛尾', '私房西湖醉蟹']",私房菜 | 西溪,5
肉本家·炭烤肉(杭州浙大总店),https://img.meituan.net/content/cf23d79a3f7f6863dc6806ef4eb24cb0322765.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,25533,￥107,"['南瓜粥', '济州岛黑猪五花肉（厚切）', '超满足牛肉拌饭']",韩式烤肉 | 高新文教区,5
Foamy Foamy(国大城市广场店),http://p0.meituan.net/biztone/730588009_1656764437406.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4395,￥61,"['荔浦芋头', '大不列颠不产茶', '椰浆紫米']",甜品 | 武林广场,5
品回味清真西北菜(西湖景区银泰店),http://p1.meituan.net/biztone/1731224893_1687933307094.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,8916,￥98,"['手抓羊肉', '羊肉串', '酸奶甜醅']",新疆菜 | 西湖银泰,5
月芽· 璞上餐厅·上天竺店,http://p0.meituan.net/biztone/193212842_1650875366082.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3484,￥292,"['红酒烩牛尾', '鲜虾牛油果沙拉', '芒果糯米饭']",西餐 | 灵隐/白乐桥,5
韩国料理大力士(屏风街店),http://p0.meituan.net/merchant/4d08bae20d4515cf140e8933c1775c8690966.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,9219,￥122,"['冷鲜猪五花', '调味牛仔骨', '烤肉']",韩国料理 | 凤起路沿线,5
金猪,https://img.meituan.net/msmerchant/334f71cddaf148ad062e4c39a71329da69260.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,7465,￥62,"['糖醋里脊', '开背虾', '臭豆腐']",浙菜 | 凤起路沿线,5
杭州酒家(延安路店),https://img.meituan.net/content/892f85b508a4ae6fe58878d2bc2d577598852.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,46095,￥90,"['闷骚南瓜', '东坡肉', '龙井虾仁']",浙菜 | 湖滨/解百商厦,5
大力士(金沙印象城店),http://p1.meituan.net/biztone/188011736_1706686423235.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5621,￥114,"['冷鲜猪五花', '飞鱼籽紫菜拌饭', '调味牛仔骨']",韩国料理 | 高沙商业街,5
知竹手工素面(天竺路店),https://p1.meituan.net/poiugc/c03cfded4f94df92c0df6bcc12f999bd2826455.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,8249,￥58,"['知味拌面', '生煎素餃', '山菇手擀面']",素食 | 灵隐/白乐桥,5
老雷家的菜(千岛湖店),https://img.meituan.net/content/44bd77fe89536f0cbb20d0868bab499a881897.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,10988,￥88,"['剁椒鱼头', '飘香鱼片', '老雷家炒面']",私房菜 | 千岛湖绿城度假公寓,5
BY AND BY coffee&food,http://p0.meituan.net/merchant/ae5905c4293484d6ce1ce54281b9f650430894.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2546,￥96,"['烟熏手撕猪肉配菠菜班尼迪克蛋', '早午餐全餐', '拿铁']",咖啡厅 | 开发区/高教园,5
black rainbow coffee(孩儿巷店),https://img.meituan.net/msmerchant/3bf56b86d6861aedd253820b2c21748915940.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5991,￥59,"['晴王葡萄无花果奶油蛋糕', 'dirty', '日本柚子酱佐抹茶白巧克力蛋糕']",咖啡厅 | 武林路,5
osteria pelecanus鹈鹕野餐,https://img.meituan.net/msmerchant/84a33463e90564203670448d60dd85cf5811769.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,6818,￥142,"['鸡汁牛肝菌烩饭', '烤牛舌配墨西哥青番茄辣酱（微辣）', '慢烤猪肋排与烤杂菌']",西餐 | 平海路,5
岚轩餐厅(西湖店),http://p0.meituan.net/merchant/a0ab495db62cbe79475e685e3cadad8a368471.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2963,￥90,"['全鸡煲', '龙井茶', '外婆红烧肉']",浙菜 | 满觉陇,5
樨香(平安悦坊店),https://img.meituan.net/msmerchant/3a0904bb85742066347882f0778263344763429.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2959,￥248,"['拉菲樱桃鹅肝', '波龙麻婆豆腐', '樨香小炒皇']",创意菜 | 钱江新城/四季青,5
胡须有你西餐·咖啡·美酒·鲜花(大运河店),http://p0.meituan.net/biztone/41084664_1678116042378.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4095,￥153,"['榴莲披萨', '烤羊排', '牛排']",西餐 | 拱宸桥/上塘,5
osteria pelecanus鹈鹕野餐(黄姑山路店),http://p0.meituan.net/biztone/168474491_1696669560227.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4253,￥130,"['鸡汁牛肝菌烩饭', '青芒鸡肉沙拉', '烤牛舌配墨西哥青番茄辣酱']",西餐 | 高新文教区,5
mamala 西餐厅(杭州远洋乐堤港店),http://p0.meituan.net/biztone/5479236_1692087036634.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,11066,￥294,"['吞拿鱼马铃薯千层派', '澳洲和牛西冷牛排配蘑菇汁', '奶油蘑菇汤']",西餐 | 拱宸桥/上塘,5
西湖国宾馆·红吧,https://img.meituan.net/msmerchant/cd20a8036debfeb4dd75e4dbf40b8b241343973.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,1330,￥208,"['九曲红梅', '极品西湖龙井', '拿破仑蛋糕']",咖啡厅 | 龙井/虎跑,5
荣先森·福建小馆(杭州大悦城店),https://img.meituan.net/content/d452bcec917557ac9d72850a22cad7932008817.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,11641,￥99,"['古法鲜黄花鱼汤', '地道白灼小管', '古早味炸芋枣']",福建菜 | 北大桥/大悦城,5
Magnet磁食(杭州大悦城店),http://p0.meituan.net/merchant/305c42fa7770e1e65047f58f7ef2ac54196664.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5086,￥138,"['桃木烧烤猪肋排', '蜂蜜黑胡椒牛肋骨', '每日例汤']",西餐 | 北大桥/大悦城,5
老头儿油爆虾(武林店),https://img.meituan.net/content/a164a5453ebe7aeea9c0fb9f7cf480aa3129085.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,17561,￥98,"['老头儿油爆沼虾', '干炸带鱼老头儿真传（小份）', '酱卤鸭']",浙菜 | 武林广场,5
乔村二十八道(钱江世纪城店),https://img.meituan.net/msmerchant/ea3e3abc436a9df667183fb895a48270194868.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,16807,￥173,"['墨色流沙包', '养胃的胡椒猪肚煲', '黑松露野菌饺']",创意菜 | 钱江世纪城,5
文兴酒家·始于1990(钱江新城店),https://img.meituan.net/content/f68b02304642e4f8f63bf55e8b1f5986455073.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3519,￥275,"['片皮鸭', '福建鲍汁炒饭', '豆腐龙虾']",粤菜馆 | 钱江新城/四季青,5
101茶餐厅,http://qcloud.dpfile.com/pc/jiclIsCKmOI2arxKN1Uf0Hx3PucIJH8q0QSz-Z8llzcN56-_QiKuOvyio1OOxsRtbKcq9vnEaGy3xLEf-_v_oA.jpg,4305,￥85,"['五花卤肉饭', '湾湾香肠', '好大鳗鱼饭']",茶餐厅 | 丝联166创意园,5
新白鹿餐厅(银泰西湖文化广场店),https://img.meituan.net/content/61ba1cdf9452ec984c4cc49d373bc24e1961476.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,21055,￥68,"['蛋黄鸡翅', '酱烤活鲈鱼', '冰淇淋烤布雷']",浙菜 | 西湖文化广场,5
初禾(河坊街店),http://p1.meituan.net/biztone/184375522_1694524704936.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5620,￥156,"['蟹粉豆腐', '初禾绿豆糕', '东海带鱼炖鸭']",私房菜 | 吴山广场/河坊街,5
里园·八角杯(三台云舍店),https://p0.meituan.net/biztone/9e8fa45aea51a55f9646b3233bb1c922317908.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2038,￥376,"['锅贴鱼片', '椒香江鳗', '陈皮醉沼虾']",浙菜 | 龙井/虎跑,5
西湖国宾馆·紫薇厅,https://img.meituan.net/msmerchant/99e18fb830d3171cbfc19da2d8050f161711676.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,9000,￥467,"['西湖醋鱼', '虎跑泉水松茸饭', '东坡焖肉']",浙菜 | 龙井/虎跑,5
Carbon魔泰·Thai 泰国餐厅(武林银泰店),http://p0.meituan.net/biztone/177202554_1709101685426.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,9995,￥120,"['金钱虾饼', '咖喱黄牛腩', '冬阴海鲜汤']",泰国菜 | 武林广场,5
漢舍小馆(丽水路店),https://img.meituan.net/content/b96c138d1d2d7c99678cb6db8750702f1386361.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,18670,￥169,"['漢舍招牌果木烤鸭', '鲜菌时蔬自制豆腐', '老上海葱油鸡']",浙菜 | 远洋乐堤港,5
娃哈哈同乐舫(庆春店),http://p0.meituan.net/biztone/683585_1649910468091.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,13092,￥153,"['同乐乳鸽皇', '同乐虾饺皇', '妙脆鲜虾肠']",浙菜 | 浙一医院/庆春路沿线,5
HELLO 27,http://p0.meituan.net/biztone/159976513_1696744410256.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4816,￥81,"['咖椰吐司', '昆布蟹肉天使细面', '照烧鸡肉配牛油果拉法沙拉']",西餐 | 文三路沿线,5
宴杭·江宴·精致杭帮菜(欧美中心店),https://p0.meituan.net/biztone/b71b098fa46efd87c13e27fbf91c34be146407.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,1689,￥116,"['油爆虾', '打破砂锅神仙鸡', '红烧肉焖笋']",浙菜 | 高新文教区,5
Tony's House,http://qcloud.dpfile.com/pc/FATUd5DZYwxx0xIfcy_fkcfnHiQJRKx9BhJVOPTEd52naWB5pQE-0MENC6SaYjHlbKcq9vnEaGy3xLEf-_v_oA.jpg,4597,￥57,"['烤春鸡', '烤鸡肉玛莎拉', '黄油囊饼']",印度菜 | 三墩镇,5
Primo·丽莫意大利窑烤披萨,http://p0.meituan.net/biztone/194858413_1712804027368.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2819,￥121,"['双拼披萨', '蜂蜜柠檬烤翅', '主厨沙拉']",比萨 | 开发区/高教园,5
传家·来自农耕的传承,http://p0.meituan.net/biztone/163427377_1664868128032.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,6142,￥90,"['传家麦香饼', '土猪肉包子', '衢州鸭头']",衢州菜 | 高新文教区,5
新荣记(西溪湿地店),https://img.meituan.net/content/c623cccf9bb6460b14360932d502d3c9373200.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4258,￥818,"['黄金脆带鱼', '脆皮乳鸽', '沙蒜烧豆面']",苏浙菜 | 西溪,5
瑾颖餐馆(衢江路店),http://qcloud.dpfile.com/pc/56uAJy9VlruYkdqdB4kI63NbLCY56YkpTz63sUqpNxayNl-Yq-8w14dGUfPcLfhubKcq9vnEaGy3xLEf-_v_oA.jpg,3754,￥60,"['锅包肉', '酱鸡蛋', '渍菜粉']",东北菜 | 近江/之江路,5
大牌大·传统杭帮菜(湖滨店),http://p0.meituan.net/biztone/111159904_1671420343506.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,12990,￥79,"['南乳扎烧肘子', '一口闷芝士南瓜', '桂花酒酿圆子']",浙菜 | 龙翔桥/音乐喷泉,5
新榆园·手工浙菜(湖滨银泰in77旗舰店),http://p0.meituan.net/biztone/185877122_1715251698762.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,20813,￥128,"['蟹肉炸米泡饭', '雪花牛肉', '鲍鱼红烧肉']",创意菜 | 湖滨/解百商厦,5
满满初牛·炭烧牛肉专门店(国大店),https://img.meituan.net/content/ab0c8025591922605aa7d4436c1f3f84134966.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,24790,￥99,"['厚切牛排丼饭', '满幸福的温泉蛋', '紫苏虾球']",日本料理 | 武林广场,5
隐觅·私房菜,https://img.meituan.net/msmerchant/6427266710e4957eb40993578cfda5df112224.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3283,￥120,"['牛油果沙律', '特色一品鲜', '老底子红烧肉']",私房菜 | 吴山景区/万松岭路,5
月芽·自由餐厅·西溪湿地餐厅,http://p0.meituan.net/biztone/105303544_1668740463391.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,11490,￥280,"['红葡萄酒烩牛尾', '松露烩饭', '泰式柠檬烤鱼钩']",西餐 | 西溪,5
哥老官重庆美蛙鱼头(西湖银泰十一哥店),http://p1.meituan.net/biztone/188782249_1689910267510.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,18701,￥128,"['安心美蛙', '创·世纪冰粉系列', '招牌牛蛙']",重庆火锅 | 吴山广场/河坊街,5
隐食·惬意餐厅(城西塘萍路店),https://img.meituan.net/msmerchant/357e98a8e505c753bf31aab7fe67d32a4991369.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,2004,￥122,"['秘制醋泡凤爪', '台湾特色烧花蛤', '韩国泡菜小龙虾']",私房菜 | 城西银泰城,5
庆春食堂·102道纯手工蔬食料理,http://p0.meituan.net/biztone/192676653_1692802326686.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,14086,￥97,"['黑松露炒饭', '藜麦椒麻豆腐', '西湖糖醋藕']",创意菜 | 庆春东路,5
宴鲜森·老底子杭帮菜(河坊街店),http://p1.meituan.net/biztone/193693881_1625890114896.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3940,￥107,"['糖醋里脊', '西湖醋鱼', '吱吱红烧肉']",浙菜 | 吴山广场/河坊街,5
金泰兰忆暹罗·东南亚餐厅(来福士中心店),https://img.meituan.net/content/11f7c268ea6dffd7eb687a38338f89ff2096489.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,16131,￥155,"['暹罗冬阴功汤', '炭烤双拼', '经典咖喱蟹']",泰国菜 | 钱江新城/四季青,5
哥老官重庆美蛙鱼头(杭州大厦店),https://img.meituan.net/content/9778b981998ecd12b8a485a8a7dc5d631110948.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,15959,￥132,"['安心美蛙', '招牌牛蛙', '招牌空运毛肚']",重庆火锅 | 武林广场,5
惠食记·荷塘(解放路店),https://img.meituan.net/content/5358f3b70edea6bd3e330bdf870db1eb898350.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3120,￥88,"['金喜烤肉', '花雕熟醉沼虾', '石锅新沃豆腐']",私房菜 | 吴山广场/河坊街,5
江浙荟(西湖湖滨in77B区店),http://p0.meituan.net/biztone/187075457_1687412593771.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,14976,￥140,"['龙井虾仁', '鲍鱼红烧肉', '海胆八宝豆腐']",浙菜 | 湖滨/解百商厦,5
秋粤台(江锦路店),https://p0.meituan.net/biztone/13c1957b64397458ee2781898a8202d1617429.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4188,￥334,"['金网红米脆皮肠', '手打鱼腐娃娃菜', '脆皮乳鸽']",粤菜馆 | 钱江新城/四季青,5
